
=== Layer 1: 周邊 (17 個地點) ===
* [animate 台北店] coords: 121.5094891,25.0452725,0 | desc: 雖然總是被笑是盤子美特，但是不能否認他的齊全程度，新手入門必逛的店
* [一抽入魂 ToyStore 台北車站店] coords: 121.5162058,25.0452988,0 | desc: 種類豐富，價格偏貴，適合逛街，消費請冷靜
* [一抽入魂西門萬年店] coords: 121.5059687,25.0435584,0 | desc: 種類豐富，價格偏貴，適合逛，消費請冷靜
* [JUNKUDO淳久堂書店-南港店] coords: 121.6175825,25.0593449,0 | desc: jump shop的相片機和很多的漫畫原畫周邊
* [紀伊國屋書店 台北微風店] coords: 121.5442646,25.0458624,0 | desc: jump shop的相片機，不確定有沒有周邊
* [雜誌瘋 西門店] coords: 121.5082108,25.0445137,0 | desc: 種類豐富，有時候能發現絕版的酷東西
* [雜誌瘋 永華店] coords: 121.5059763,25.0435808,0 | desc: 種類豐富，有時候能發現絕版的酷東西
* [雜誌瘋北街店] coords: 121.5156106,25.0491019,0 | desc: 種類豐富，有時候能發現絕版的酷東西
* [雜誌瘋 台大店] coords: 121.5338344,25.0146259,0 | desc: 種類豐富，有時候能發現絕版的酷東西
* [買動漫台北旗艦店] coords: 121.5154982,25.0454182,0 | desc: 販售台灣出版社出版之漫畫、輕小說、畫冊，日本進口周邊，以及買動漫生產銷售之同人誌和周邊。
* [木棉花樂園-台北地下街門市(Y區11.12號店舖-近捷運北門站Y25出口)] coords: 121.511245,25.0502117,0 | desc: 不解釋我大哥
* [寶可夢中心台北] coords: 121.5672924,25.0363578,0 | desc: 這個也不解釋
* [傑仕登任天堂授權商品旗艦中心A11] coords: 121.5672921,25.0364914,0 | desc: 不解釋
* [展碁Weblink 任天堂授權商品旗艦店LaLaport南港門市] coords: 121.6175825,25.0593449,0 | desc: 
* [萬代官方扭蛋專門店 att門市] coords: 121.5660665,25.03531,0 | desc: 錢不是你的，是萬代的
* [萬代官方扭蛋專門店 宏匯門市] coords: 121.4492614,25.0598435,0 | desc: 錢不是你的，是萬代的
* [primaniacs 台北三創店] coords: 121.5313187,25.0454978,0 | desc: 7F，有地標我再換新的，專門出動漫角色香水的店面。

=== Layer 2: 同人本/日版書籍 (15 個地點) ===
* [animate 台北店] coords: 121.5094891,25.0452725,0 | desc: 你想得到的應該都有
* [紀伊國屋書店 台北微風店] coords: 121.5442646,25.0458624,0 | desc: 雜誌、日版漫畫
* [JUNKUDO淳久堂書店-南港店] coords: 121.6175825,25.0593449,0 | desc: 雜誌、日版漫畫
* [淳久堂 台北明曜店] coords: 121.5521933,25.040964,0 | desc: 雜誌、日版漫畫<br>不確定有沒有jump shop
* [雜誌瘋 台大店] coords: 121.5338344,25.0146259,0 | desc: 雜誌、畫冊
* [雜誌瘋北街店] coords: 121.5156106,25.0491019,0 | desc: 雜誌、畫冊，店面比較小
* [雜誌瘋 永華店] coords: 121.5059763,25.0435808,0 | desc: 雜誌、畫冊
* [雜誌瘋 西門店] coords: 121.5082108,25.0445137,0 | desc: 雜誌、畫冊
* [買動漫台北旗艦店] coords: 121.5154982,25.0454182,0 | desc: 販售台灣出版社出版之漫畫、輕小說、畫冊，日本進口周邊，以及買動漫生產銷售之同人誌和周邊
* [蜜瓜書店動漫有限公司] coords: 121.511328,25.0446759,0 | desc: 同人誌 、同人CD、漫畫<br>在六樓，地標出來會再替換
* [虎之穴台北店] coords: 121.5143379,25.0459137,0 | desc: 
* [animate 西門站 POPUP SHOP & Gratte] coords: 121.5088024,25.0438886,0 | desc: 傳說中的西門地下街
* [駿河屋 誠品西門店] coords: 121.5053281,25.0436534,0 | desc: 
* [駿河屋 台北明曜店] coords: 121.5520393,25.0412017,0 | desc: 
* [駿河屋 中山地下街店] coords: 121.5203913,25.0507596,0 | desc: 

=== Layer 3: 中古週邊 (9 個地點) ===
* [指南針 Lashinbang 站前地下街店] coords: 121.5157311,25.0462975,0 | desc: 以二手商品為主，店面比較小
* [指南針 站前地下街店 2號館] coords: 121.5139496,25.0469687,0 | desc: 
* [指南針 Lashinbang 誠品生活武昌店] coords: 121.5057712,25.0452593,0 | desc: 
* [指南針 Lashinbang 三創生活店] coords: 121.531027,25.045341,0 | desc: 以二手商品為主
* [animate 台北店] coords: 121.5094891,25.0452725,0 | desc: 有一區指南針寄賣
* [駿河屋 台北明曜店] coords: 121.5520393,25.0412017,0 | desc: 
* [駿河屋 誠品西門店] coords: 121.5053281,25.0436534,0 | desc: 
* [駿河屋 中山地下街店] coords: 121.5203913,25.0507596,0 | desc: 
* [哈比沃福 hobby off] coords: 121.5162386,25.0474322,0 | desc: 

=== Layer 4: Look up/公仔/盒玩/盲抽/一番賞 (34 個地點) ===
* [豬帽子Boarhat(中和店)] coords: 121.4988229,25.0022942,0 | desc: 
* [豬帽子Boarhat(西門店)] coords: 121.5048364,25.0452854,0 | desc: 
* [豬帽子Boarhat(南崁店)] coords: 121.2915242,25.0467933,0 | desc: 
* [豬帽子-林口昕境店] coords: 121.3689044,25.0736598,0 | desc: 
* [豬帽子 Boarhat 環球A19店] coords: 121.2024647,25.0019989,0 | desc: 
* [野獸國 三創店] coords: 121.5311294,25.0454897,0 | desc: 以公仔、盒玩、盲抽為主，會掉落少量的周邊
* [BEAST KINGDOM 野獸國 誠品新店店] coords: 121.546478,24.978061,0 | desc: 以公仔、盒玩、盲抽為主，會掉落少量的周邊
* [BEAST KINGDOM 野獸國 誠品武昌店] coords: 121.5055717,25.0451617,0 | desc: 以公仔、盒玩、盲抽為主，會掉落少量的周邊
* [TOYeGO 玩具e哥 台北松山店] coords: 121.578056,25.046877,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [振光玩具 ASIA GOAL - 台北三創店] coords: 121.5311273,25.0454815,0 | desc: 以公仔為主
* [振光玩具 ASIA GOAL - 誠品武昌店] coords: 121.5057391,25.0451173,0 | desc: 
* [TOYeGO 玩具e哥 站前地下街] coords: 121.5156194,25.0466351,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [TOYeGO 玩具e哥台北大道一店] coords: 121.5141013,25.0489678,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [TOYeGO 玩具e哥 台北康寧店] coords: 121.6116253,25.069881,0 | desc: 
* [TOYeGO 玩具e哥 台北松山店] coords: 121.57761,25.044119,0 | desc: 
* [玩具e哥 大道二店] coords: 121.5126656,25.0498812,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 土城裕民店] coords: 121.4510964,24.9863428,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 中和威力店] coords: 121.4957431,25.0018849,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 新店中央店] coords: 121.5297578,24.9726469,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 新店建國店] coords: 121.537751,24.9832794,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 文山忠順店] coords: 121.5631899,24.9845849,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 北門店] coords: 121.5102467,25.0495804,0 | desc: 
* [東海模型玩具-萬年總店] coords: 121.5058942,25.0435135,0 | desc: 
